                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80953,                 3.2338,                 1.0739,                0.25493,                0.40991,                0.20557,                0.15848,                0.82019,                 2.8269,                 1.0451,             0.00017375,             0.00017375,             0.00017375
                      2,                0.74356,                 2.2115,                 1.0186,                0.28966,                0.49671,                0.36217,                0.29753,                0.70416,                 2.3215,                0.96187,             0.00033757,             0.00033757,             0.00033757
                      3,                0.71099,                 1.9046,                0.99815,                0.48006,                0.46751,                0.47186,                0.37145,                0.80436,                 2.1804,                 1.0231,             0.00048981,             0.00048981,             0.00048981
                      4,                0.69523,                 1.6758,                0.98778,                0.63961,                0.60377,                0.63992,                0.54157,                0.69411,                 1.5327,                0.94721,             0.00047393,             0.00047393,             0.00047393
                      5,                0.69026,                 1.4687,                 0.9838,                0.75537,                0.58088,                0.68825,                0.55927,                 0.7568,                 1.4604,                 0.9935,             0.00045657,             0.00045657,             0.00045657
                      6,                0.67457,                 1.3413,                0.97568,                0.68001,                0.67895,                 0.7126,                0.60371,                0.66535,                 1.2733,                0.92237,             0.00043921,             0.00043921,             0.00043921
                      7,                0.65378,                 1.2156,                0.96856,                 0.7628,                0.70649,                0.78322,                0.66867,                0.64125,                 1.0634,                0.91455,             0.00042185,             0.00042185,             0.00042185
                      8,                 0.6367,                 1.1722,                0.95942,                0.85019,                0.67704,                0.78205,                0.67483,                0.62407,                0.93851,                0.91035,             0.00040449,             0.00040449,             0.00040449
                      9,                0.61508,                  1.085,                0.94955,                0.87713,                0.73348,                0.82193,                0.70347,                0.62997,                0.84584,                0.90582,             0.00038714,             0.00038714,             0.00038714
                     10,                0.63158,                 1.0168,                0.95238,                0.81162,                0.76007,                   0.83,                0.71393,                0.61413,                0.78183,                0.89941,             0.00036978,             0.00036978,             0.00036978
                     11,                0.62071,                0.98566,                0.94895,                0.87732,                0.74554,                0.83898,                0.71859,                0.60766,                0.75293,                0.89702,             0.00035242,             0.00035242,             0.00035242
                     12,                0.60118,                0.94258,                 0.9467,                 0.8854,                0.76497,                0.85626,                0.73271,                0.61428,                0.69547,                0.90323,             0.00033506,             0.00033506,             0.00033506
                     13,                0.59666,                0.88527,                0.94219,                0.86941,                0.77992,                0.84505,                 0.7167,                0.62631,                0.68089,                 0.9051,              0.0003177,              0.0003177,              0.0003177
                     14,                 0.5804,                0.85942,                0.93892,                0.91514,                0.79557,                0.87073,                0.74862,                0.61056,                 0.6034,                0.90235,             0.00030035,             0.00030035,             0.00030035
                     15,                0.57355,                0.82503,                0.93381,                0.90756,                0.77252,                0.86468,                0.74434,                0.59542,                0.61263,                0.89167,             0.00028299,             0.00028299,             0.00028299
                     16,                 0.5713,                0.80318,                0.93447,                0.93362,                0.78264,                0.87438,                0.75384,                0.59025,                0.57945,                0.88893,             0.00026563,             0.00026563,             0.00026563
                     17,                0.56796,                0.78038,                0.93497,                0.89946,                0.80107,                0.87768,                0.75669,                 0.5818,                0.54725,                0.88572,             0.00024827,             0.00024827,             0.00024827
                     18,                0.55482,                0.75561,                0.92857,                0.91801,                0.77688,                0.87747,                0.75469,                 0.5846,                0.58221,                0.88892,             0.00023091,             0.00023091,             0.00023091
                     19,                0.55355,                0.71705,                0.92808,                 0.9154,                0.83611,                 0.8966,                0.77472,                0.57093,                0.50701,                0.87988,             0.00021356,             0.00021356,             0.00021356
                     20,                0.54859,                0.71167,                0.92428,                0.92802,                0.79845,                0.88509,                0.76257,                0.57642,                0.51681,                 0.8836,              0.0001962,              0.0001962,              0.0001962
                     21,                0.53563,                0.51217,                0.87925,                0.91762,                0.82588,                0.89224,                0.76699,                0.58752,                  0.499,                0.88441,             0.00017884,             0.00017884,             0.00017884
                     22,                0.53199,                0.48121,                0.87052,                0.92494,                0.83948,                0.90369,                0.77744,                0.57965,                0.48894,                0.88762,             0.00016148,             0.00016148,             0.00016148
                     23,                0.52097,                0.46527,                0.87121,                 0.9439,                0.83626,                0.90477,                0.78065,                0.57495,                0.46129,                0.87879,             0.00014412,             0.00014412,             0.00014412
                     24,                0.51461,                0.43935,                0.86622,                0.94038,                0.84141,                0.90514,                0.78315,                0.56505,                0.42653,                0.88068,             0.00012677,             0.00012677,             0.00012677
                     25,                 0.5042,                 0.4221,                0.86133,                0.91455,                 0.8558,                0.91143,                0.79174,                0.56016,                0.41891,                0.87766,             0.00010941,             0.00010941,             0.00010941
                     26,                0.49693,                0.40278,                 0.8662,                0.94761,                0.85299,                0.91321,                0.78881,                0.55302,                0.41057,                0.87298,              9.205e-05,              9.205e-05,              9.205e-05
                     27,                0.49758,                0.39846,                 0.8618,                0.94992,                 0.8455,                  0.918,                0.80217,                0.54293,                0.38974,                0.86887,             7.4692e-05,             7.4692e-05,             7.4692e-05
                     28,                0.48809,                0.38651,                0.85756,                0.95079,                0.85762,                0.92147,                0.80309,                0.54103,                0.38139,                0.86925,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     29,                0.47758,                0.37458,                0.85907,                0.92898,                0.87622,                0.91921,                0.80356,                0.54043,                0.37444,                0.87092,             3.9976e-05,             3.9976e-05,             3.9976e-05
                     30,                0.46884,                0.35985,                 0.8551,                 0.9469,                0.86427,                0.92158,                0.80669,                0.54223,                0.37076,                0.87044,             2.2618e-05,             2.2618e-05,             2.2618e-05
